release_year,count
United States,1
"June 12, 2021",1
"January 15, 2021",1
"January 13, 2021",1
"December 15, 2020",1
"August 13, 2020",1
40 min,1
2021,589
2020,952
2019,1026
2018,1145
2017,1030
2016,901
2015,559
2014,352
2013,288
2012,237
2011,185
2010,193
2009,152
2008,136
2007,88
2006,95
2005,80
2004,64
2003,61
2002,51
2001,45
2000,37
1999,39
1998,36
1997,37
1996,24
1995,25
1994,21
1993,28
1992,23
1991,17
1990,21
1989,16
1988,18
1987,8
1986,13
1985,10
1984,12
1983,11
1982,17
1981,13
1980,11
1979,11
1978,7
1977,7
1976,9
1975,7
1974,7
1973,10
1972,5
1971,5
1970,2
1969,2
1968,3
1967,5
1966,1
1965,2
1964,2
1963,2
1962,3
1961,1
1960,4
1959,1
1958,3
1956,2
1955,3
1954,2
1947,1
1946,2
1945,4
1944,2
1943,3
1942,2
1925,1
Álvaro Cervantes,1
Ted Ferguson,1
Peter Ferriero,1
Paul Sambo,1
Nse Ikpe-Etim,1
Nick Kroll,1
Marquell Manning,1
Kristen Johnston,1
Jade Eshete,1
Imanol Arias,1
Francis Weddey,1
Dr. Dre,1
Charles Rocket,1
,2
